episode,total_reward,emergency_rejections,icu_utilisation
920,187.0,0,0.66
921,157.0,0,0.9
922,130.0,2,0.88
923,139.0,0,0.76
924,166.0,0,0.8
925,163.0,0,0.82
926,97.0,2,0.78
927,100.0,2,0.96
928,157.0,0,0.9
929,148.0,0,0.92
930,115.0,1,0.76
931,97.0,2,1.0
932,109.0,0,0.94
933,97.0,2,0.88
934,109.0,1,0.94
935,97.0,2,0.82
936,178.0,0,0.76
937,148.0,0,0.8
938,157.0,0,0.84
939,145.0,0,0.94
940,121.0,0,0.5
941,148.0,0,0.78
942,133.0,0,0.98
943,169.0,0,0.62
944,142.0,0,0.82
945,172.0,0,0.78
946,112.0,2,0.82
947,142.0,0,0.6
948,121.0,0,0.9
949,154.0,0,0.88
950,133.0,0,0.94
951,157.0,0,0.74
952,169.0,0,0.74
953,106.0,0,0.98
954,136.0,0,0.92
955,190.0,0,0.76
956,58.0,3,0.68
957,145.0,0,0.88
958,151.0,0,0.72
959,151.0,0,0.62
960,82.0,1,1.0
961,121.0,0,1.0
962,154.0,0,0.82
963,133.0,0,0.84
964,154.0,0,0.82
965,178.0,0,0.88
966,79.0,2,0.52
967,139.0,0,0.82
968,166.0,0,0.9
969,187.0,0,0.76
970,88.0,1,0.86
971,169.0,0,0.8
972,178.0,0,0.72
973,160.0,0,0.74
974,124.0,0,0.94
975,145.0,2,0.66
976,130.0,0,0.84
977,118.0,0,0.84
978,106.0,2,0.64
979,205.0,0,0.8
980,169.0,0,0.76
981,121.0,0,0.88
982,97.0,1,0.72
983,178.0,0,0.92
984,154.0,0,0.78
985,103.0,1,0.98
986,160.0,0,0.82
987,133.0,0,0.54
988,103.0,1,0.96
989,157.0,0,0.82
990,163.0,0,0.7
991,181.0,0,0.78
992,145.0,0,0.94
993,181.0,0,0.78
994,157.0,0,0.9
995,166.0,0,0.9
996,148.0,1,0.82
997,151.0,2,0.84
998,91.0,1,0.98
999,88.0,1,1.0
1000,145.0,0,0.94
1001,124.0,1,0.92
1002,154.0,0,0.82
1003,103.0,1,0.94
1004,211.0,0,0.74
1005,160.0,0,0.7
1006,109.0,1,0.88
1007,172.0,0,0.64
1008,112.0,0,0.92
1009,154.0,0,0.8
1010,115.0,0,0.96
1011,148.0,0,0.74
1012,151.0,0,0.84
1013,109.0,0,0.9
1014,100.0,2,0.88
1015,103.0,2,0.9
1016,94.0,1,0.88
1017,139.0,0,0.72
1018,103.0,2,0.92
1019,67.0,3,0.86
1020,133.0,1,0.86
1021,115.0,1,0.88
1022,130.0,0,0.98
1023,148.0,1,0.82
1024,151.0,0,0.88
1025,127.0,0,0.8
1026,109.0,1,0.88
1027,130.0,1,0.9
1028,148.0,0,0.9
1029,178.0,0,0.52
1030,94.0,2,0.94
1031,121.0,0,1.0
1032,142.0,1,0.76
1033,142.0,0,0.76
1034,181.0,0,0.9
1035,133.0,0,0.92
1036,178.0,0,0.82
1037,103.0,2,0.82
1038,106.0,1,0.94
1039,178.0,0,0.5
1040,151.0,1,0.88
1041,145.0,0,0.88
1042,124.0,1,0.88
1043,112.0,0,0.88
1044,163.0,0,0.82
1045,118.0,0,0.9
1046,121.0,0,0.88
1047,118.0,1,0.98
1048,76.0,5,0.94
1049,175.0,0,0.62
1050,133.0,0,0.86
1051,136.0,0,0.84
1052,124.0,0,0.82
1053,121.0,1,0.66
1054,148.0,0,0.86
1055,130.0,0,0.68
1056,94.0,2,0.98
1057,145.0,0,0.92
1058,130.0,0,0.8
1059,127.0,1,0.86
1060,151.0,0,0.88
1061,118.0,0,0.64
1062,157.0,0,0.86
1063,142.0,1,0.94
1064,157.0,0,0.74
1065,145.0,0,0.78
1066,145.0,0,0.74
1067,145.0,0,0.64
1068,118.0,1,0.84
1069,175.0,0,0.66
1070,112.0,1,0.92
1071,160.0,0,0.84
1072,103.0,3,0.98
1073,118.0,0,0.98
1074,133.0,0,0.84
1075,70.0,2,0.94
1076,109.0,1,0.58
1077,160.0,0,0.88
1078,166.0,1,0.84
1079,70.0,4,0.84
1080,178.0,0,0.72
1081,100.0,1,0.92
1082,109.0,0,0.64
1083,106.0,0,0.96
1084,112.0,2,0.72
1085,139.0,1,0.9
1086,157.0,1,0.88
1087,154.0,0,0.82
1088,157.0,0,0.66
1089,139.0,0,0.8
1090,115.0,0,0.8
1091,91.0,2,0.86
1092,94.0,1,0.96
1093,163.0,0,0.92
1094,124.0,0,0.74
1095,136.0,0,0.84
1096,151.0,0,0.84
1097,154.0,0,0.64
1098,172.0,0,0.9
1099,103.0,1,0.86
1100,175.0,0,0.8
1101,151.0,0,0.88
1102,163.0,0,0.8
1103,109.0,0,0.88
1104,154.0,0,0.86
1105,142.0,1,0.8
1106,151.0,0,0.72
1107,112.0,0,0.92
1108,82.0,3,0.86
1109,109.0,0,0.92
1110,100.0,1,0.8
1111,139.0,1,0.9
1112,142.0,1,0.66
1113,142.0,1,0.6
1114,136.0,0,0.86
1115,208.0,0,0.74
1116,106.0,2,0.9
1117,118.0,0,0.98
1118,172.0,0,0.88
1119,145.0,1,0.8
1120,157.0,0,0.9
1121,103.0,1,0.84
1122,154.0,0,0.86
1123,136.0,1,0.86
1124,172.0,0,0.86
1125,148.0,0,0.78
1126,88.0,2,0.84
1127,166.0,0,0.72
1128,112.0,0,0.88
1129,100.0,1,0.84
1130,148.0,0,0.92
1131,199.0,0,0.72
1132,115.0,2,0.84
1133,127.0,0,0.78
1134,121.0,1,0.68
1135,133.0,0,0.7
1136,115.0,2,0.88
1137,178.0,0,0.78
1138,157.0,0,0.9
1139,160.0,0,0.96
1140,121.0,1,0.78
1141,142.0,0,0.74
1142,163.0,0,0.96
1143,151.0,0,0.84
