episode,total_reward,emergency_rejections,icu_utilisation
601,-59.0,3,0.7
602,-24.0,3,0.44
603,-17.0,3,0.58
604,-150.0,4,0.86
605,-109.0,9,0.52
606,-150.0,7,0.72
607,-78.0,3,0.66
608,-70.0,6,0.58
609,-27.0,5,0.7
610,-107.0,4,0.9
611,-94.0,6,0.8
612,-58.0,4,0.64
613,-26.0,5,0.76
614,-90.0,5,0.74
615,-129.0,7,0.9
616,-76.0,6,0.74
617,-25.0,0,0.42
618,-87.0,5,0.8
619,-107.0,4,0.9
620,-133.0,10,0.72
621,-73.0,3,0.62
622,-94.0,5,0.84
623,-23.0,2,0.84
624,-119.0,8,0.9
625,-46.0,3,0.6
626,-60.0,7,0.96
627,-108.0,4,0.8
628,-44.0,6,0.68
629,-25.0,2,0.64
630,-26.0,2,0.46
631,-62.0,4,0.78
632,-50.0,4,0.86
633,-119.0,5,0.76
634,-104.0,4,0.88
635,-91.0,6,0.58
636,-42.0,5,0.72
637,-109.0,8,0.7
638,-122.0,5,0.62
639,-100.0,3,0.86
640,-39.0,4,0.78
641,-77.0,5,0.66
642,-84.0,6,0.5
643,-54.0,2,0.56
644,-40.0,4,0.68
645,-95.0,6,0.6
646,-86.0,4,0.62
647,-73.0,4,0.66
648,-17.0,5,0.36
649,-93.0,6,0.48
650,-115.0,6,0.72
651,-121.0,5,0.6
652,-22.0,4,0.48
653,-65.0,6,0.82
654,-13.0,5,0.66
655,-101.0,3,0.86
656,-90.0,5,0.6
657,-129.0,9,0.96
658,-92.0,4,0.8
659,-104.0,6,0.4
660,-136.0,7,0.74
661,-33.0,4,0.7
662,-75.0,4,0.64
663,-131.0,6,0.82
664,-71.0,5,0.68
665,-128.0,4,0.78
666,-85.0,5,0.8
667,-52.0,5,0.48
668,-68.0,6,0.7
669,-55.0,6,0.24
670,-34.0,7,0.64
671,-47.0,1,0.56
672,-41.0,3,0.62
673,-90.0,3,0.7
674,-86.0,6,0.74
675,-76.0,3,0.9
676,-77.0,6,0.96
677,-107.0,4,0.78
678,-72.0,8,0.72
679,-66.0,5,0.56
680,-105.0,7,0.56
681,-142.0,6,0.8
682,15.0,1,0.42
683,-69.0,1,0.78
684,-46.0,6,0.78
685,-100.0,4,0.54
686,-87.0,1,0.66
687,-98.0,5,0.44
688,-54.0,3,0.72
689,-108.0,2,0.78
690,-84.0,3,0.72
691,-105.0,2,0.54
692,-87.0,8,0.66
693,-16.0,3,0.74
694,-58.0,3,0.72
695,-114.0,7,0.6
696,-64.0,1,0.84
697,-36.0,4,0.62
698,-32.0,4,0.5
699,-119.0,6,0.68
700,-46.0,4,0.56
701,-87.0,4,0.74
702,-64.0,6,0.7
703,-24.0,5,0.74
704,-176.0,5,0.88
705,-18.0,3,0.48
706,-78.0,6,0.68
707,-173.0,9,0.68
708,-64.0,6,0.5
709,-104.0,6,0.82
710,-51.0,1,0.38
711,-104.0,5,0.86
712,-114.0,7,0.42
713,-74.0,4,0.62
714,-96.0,3,0.72
715,-58.0,3,0.5
716,-85.0,3,0.76
717,-21.0,3,0.62
718,-44.0,2,0.52
719,-117.0,7,0.62
720,-74.0,4,0.58
721,-76.0,4,0.46
722,-63.0,5,0.6
723,-137.0,11,0.64
724,-124.0,6,0.74
725,-156.0,9,0.92
726,-134.0,9,0.36
727,-59.0,4,0.7
728,-77.0,9,0.7
729,-31.0,4,0.42
730,-118.0,4,0.64
731,-87.0,5,0.48
732,-147.0,7,0.8
733,-61.0,3,0.86
734,-89.0,4,0.76
735,-116.0,5,0.48
736,-146.0,8,0.56
737,-174.0,7,0.58
738,1.0,4,0.58
739,-41.0,5,0.82
740,-93.0,4,0.9
741,-157.0,6,1.0
742,-51.0,2,0.88
743,-165.0,5,0.78
744,-86.0,3,0.68
745,-127.0,5,0.78
746,-69.0,4,0.88
747,-55.0,2,0.7
748,-128.0,6,0.5
749,-24.0,3,0.56
750,-89.0,3,0.68
751,-30.0,2,0.74
752,-119.0,4,0.84
753,-59.0,4,0.5
754,-62.0,5,0.66
755,-89.0,5,0.68
756,-66.0,5,0.68
757,-45.0,4,0.54
758,-83.0,5,0.76
759,-30.0,4,0.6
760,-156.0,3,0.52
761,-63.0,3,0.46
762,-32.0,3,0.68
763,-34.0,1,0.7
764,-69.0,6,0.92
765,-126.0,7,0.72
766,-73.0,6,0.7
767,-62.0,4,0.48
768,-44.0,5,0.84
769,-52.0,4,0.44
770,-33.0,3,0.72
771,-108.0,7,0.64
772,-73.0,9,0.6
773,-182.0,4,0.88
774,-90.0,3,0.82
775,-63.0,4,0.78
776,-9.0,4,0.76
777,-146.0,6,0.74
778,-149.0,8,0.66
779,-53.0,6,0.66
780,-60.0,4,0.56
781,-31.0,2,0.72
782,-60.0,4,0.68
783,-43.0,4,0.84
784,-35.0,2,0.48
785,-71.0,6,0.8
786,-64.0,5,0.62
787,-87.0,5,0.82
788,-62.0,5,0.56
789,-68.0,5,0.76
790,-199.0,4,0.66
791,-151.0,8,0.98
792,-61.0,3,0.8
793,-85.0,9,0.8
794,-23.0,3,0.7
795,-51.0,5,0.7
796,-92.0,5,0.7
797,-103.0,8,0.76
798,-21.0,1,0.7
799,-161.0,5,0.52
800,-6.0,4,0.52
801,-72.0,5,0.66
802,-97.0,4,0.8
803,-46.0,4,0.56
804,-30.0,5,0.62
805,-129.0,10,0.84
806,-114.0,7,0.5
807,-40.0,4,0.44
808,-112.0,6,0.62
809,-56.0,5,0.72
810,-52.0,3,0.8
811,-115.0,3,0.58
812,-26.0,3,0.14
813,-65.0,3,0.58
814,-119.0,5,0.84
815,-21.0,5,0.66
816,-92.0,4,0.66
817,-92.0,6,0.7
818,-87.0,6,0.64
819,-48.0,4,0.62
820,-45.0,4,0.66
821,-65.0,3,0.58
822,-28.0,3,0.74
823,-91.0,3,0.66
824,-50.0,5,0.68
825,-158.0,5,0.82
826,-41.0,5,0.46
827,-69.0,2,0.84
828,-59.0,6,0.44
829,-132.0,4,0.38
830,-171.0,5,0.68
831,-76.0,3,0.6
832,-123.0,8,0.68
833,-106.0,5,0.66
834,-21.0,6,0.7
835,-138.0,5,0.78
836,-112.0,3,0.8
837,-17.0,2,0.52
838,-67.0,5,0.8
839,-45.0,7,0.64
840,-32.0,4,0.68
841,-144.0,7,0.44
842,-22.0,5,0.36
843,-91.0,4,0.78
844,-26.0,5,0.78
845,-88.0,6,0.26
846,-131.0,5,0.8
847,-97.0,5,0.82
848,-97.0,6,0.9
849,-106.0,6,0.9
850,-85.0,6,0.92
851,-80.0,5,0.94
852,-115.0,5,0.88
853,-89.0,2,0.52
854,-86.0,6,0.62
855,-47.0,4,0.42
856,-84.0,5,0.58
857,-43.0,2,0.72
858,-155.0,12,0.66
859,-24.0,3,0.74
860,-37.0,5,0.68
861,-162.0,5,0.76
862,-90.0,4,0.84
863,-90.0,5,0.96
864,-138.0,7,0.72
865,-99.0,5,0.62
866,-110.0,5,0.6
867,-51.0,5,0.82
868,-57.0,4,0.58
869,-69.0,3,0.6
870,-62.0,5,0.64
871,-87.0,5,0.72
872,-142.0,4,0.88
873,-131.0,6,0.82
874,-131.0,7,0.88
875,-49.0,4,0.46
876,-179.0,8,0.9
877,-71.0,2,0.48
878,-20.0,2,0.66
879,-103.0,1,0.82
880,-42.0,3,0.8
881,-15.0,4,0.52
882,-50.0,6,0.64
883,-78.0,5,0.58
884,-80.0,3,0.54
885,-35.0,4,0.7
886,-134.0,9,0.84
